timestamp,horizon,forecast_MW
2025-12-01 01:00:00,1,1861.260386213548
2025-12-01 02:00:00,2,1786.750612055892
2025-12-01 03:00:00,3,1786.750612055892
2025-12-01 04:00:00,4,1822.7460583360155
2025-12-01 05:00:00,5,2203.3075576330834
2025-12-01 06:00:00,6,3037.42654209633
2025-12-01 07:00:00,7,3589.947182659778
2025-12-01 08:00:00,8,3743.6696655426063
2025-12-01 09:00:00,9,3960.1992396875535
2025-12-01 10:00:00,10,4077.346795645909
2025-12-01 11:00:00,11,3929.500745246511
2025-12-01 12:00:00,12,3818.0955902071687
2025-12-01 13:00:00,13,3467.9750210196958
2025-12-01 14:00:00,14,3455.7666875041455
2025-12-01 15:00:00,15,3421.7952535542795
2025-12-01 16:00:00,16,3434.8675432035266
2025-12-01 17:00:00,17,3581.767235968187
2025-12-01 18:00:00,18,3626.927752639242
2025-12-01 19:00:00,19,3567.556236223644
2025-12-01 20:00:00,20,3299.8530963230332
2025-12-01 21:00:00,21,2998.5173312326965
2025-12-01 22:00:00,22,2741.419553902115
2025-12-01 23:00:00,23,2474.090454029734
2025-12-02 00:00:00,24,2026.4037259915021
2025-12-02 01:00:00,25,1865.252257220099
2025-12-02 02:00:00,26,1804.7536964837382
2025-12-02 03:00:00,27,1797.1304541610414
2025-12-02 04:00:00,28,1846.1468364585821
2025-12-02 05:00:00,29,2246.172843602604
2025-12-02 06:00:00,30,3074.597190613102
2025-12-02 07:00:00,31,3610.105862555045
2025-12-02 08:00:00,32,3731.901988685675
2025-12-02 09:00:00,33,3964.9575116546403
2025-12-02 10:00:00,34,3987.914521000251
2025-12-02 11:00:00,35,3960.345283543544
2025-12-02 12:00:00,36,3868.222999874187
2025-12-02 13:00:00,37,3514.1036409840453
2025-12-02 14:00:00,38,3500.4938863787647
2025-12-02 15:00:00,39,3460.000552027056
2025-12-02 16:00:00,40,3456.2480228656937
2025-12-02 17:00:00,41,3610.6216653028027
2025-12-02 18:00:00,42,3672.251678953011
2025-12-02 19:00:00,43,3598.8814068411134
2025-12-02 20:00:00,44,3344.7021478035967
2025-12-02 21:00:00,45,3030.215903038225
2025-12-02 22:00:00,46,2783.2174410583534
2025-12-02 23:00:00,47,2512.4420985406177
2025-12-03 00:00:00,48,2028.2180864321924
2025-12-03 01:00:00,49,1867.0053736739387
2025-12-03 02:00:00,50,1797.2567468082177
2025-12-03 03:00:00,51,1792.2325080738406
2025-12-03 04:00:00,52,1841.2846218013608
2025-12-03 05:00:00,53,2259.437698838384
2025-12-03 06:00:00,54,3108.955641787229
2025-12-03 07:00:00,55,3663.014566541372
2025-12-03 08:00:00,56,3815.3239583655372
2025-12-03 09:00:00,57,4024.3757992499577
2025-12-03 10:00:00,58,4164.208329345036
2025-12-03 11:00:00,59,3989.6488285121654
2025-12-03 12:00:00,60,3872.4540211790786
2025-12-03 13:00:00,61,3505.7725067632914
2025-12-03 14:00:00,62,3490.909664286632
2025-12-03 15:00:00,63,3456.764860224359
2025-12-03 16:00:00,64,3456.764860224359
2025-12-03 17:00:00,65,3629.2329158176476
2025-12-03 18:00:00,66,3702.7243141026784
2025-12-03 19:00:00,67,3653.5368790616285
2025-12-03 20:00:00,68,3325.6566359115927
2025-12-03 21:00:00,69,2978.376475517695
2025-12-03 22:00:00,70,2731.7451706300767
2025-12-03 23:00:00,71,2508.1969890992204
2025-12-04 00:00:00,72,2034.201113568217
2025-12-04 01:00:00,73,1856.896928893307
2025-12-04 02:00:00,74,1778.6076798344811
2025-12-04 03:00:00,75,1780.6214633489349
2025-12-04 04:00:00,76,1839.5105771495637
2025-12-04 05:00:00,77,2250.2301299745886
2025-12-04 06:00:00,78,3104.265146104967
2025-12-04 07:00:00,79,3638.9165297910267
2025-12-04 08:00:00,80,3839.5497081069843
2025-12-04 09:00:00,81,4059.472220053504
2025-12-04 10:00:00,82,4152.764484294813
2025-12-04 11:00:00,83,4042.8820370890708
2025-12-04 12:00:00,84,3871.204023850852
2025-12-04 13:00:00,85,3493.646253570156
2025-12-04 14:00:00,86,3475.580407551597
2025-12-04 15:00:00,87,3444.3341625970024
2025-12-04 16:00:00,88,3447.6763035282383
2025-12-04 17:00:00,89,3704.4329483873457
2025-12-04 18:00:00,90,3735.414468656329
2025-12-04 19:00:00,91,3665.0284185151836
2025-12-04 20:00:00,92,3307.2499808695793
2025-12-04 21:00:00,93,2998.783129469236
2025-12-04 22:00:00,94,2748.1344214912506
2025-12-04 23:00:00,95,2505.8070513503862
2025-12-05 00:00:00,96,2045.6110837156698
2025-12-05 01:00:00,97,1892.1483180836847
2025-12-05 02:00:00,98,1819.8111396246802
2025-12-05 03:00:00,99,1815.154025793858
2025-12-05 04:00:00,100,1864.2061395213782
2025-12-05 05:00:00,101,2289.8528762816504
2025-12-05 06:00:00,102,3121.2529705983698
2025-12-05 07:00:00,103,3674.3164990159535
2025-12-05 08:00:00,104,3872.8760334675007
2025-12-05 09:00:00,105,4121.393817334166
2025-12-05 10:00:00,106,4275.796868440904
2025-12-05 11:00:00,107,4164.868335764396
2025-12-05 12:00:00,108,4006.831380868714
2025-12-05 13:00:00,109,3603.283736700139
2025-12-05 14:00:00,110,3558.7887317788172
2025-12-05 15:00:00,111,3514.118908241748
2025-12-05 16:00:00,112,3475.4645142232966
2025-12-05 17:00:00,113,3608.265243364827
2025-12-05 18:00:00,114,3671.2117068301554
2025-12-05 19:00:00,115,3599.398554981721
2025-12-05 20:00:00,116,3317.977942878021
2025-12-05 21:00:00,117,3005.0135658588906
2025-12-05 22:00:00,118,2776.8172014755887
2025-12-05 23:00:00,119,2540.3396849729725
2025-12-06 00:00:00,120,2051.109532803732
2025-12-06 01:00:00,121,1870.5762767181106
2025-12-06 02:00:00,122,1802.1860280512649
2025-12-06 03:00:00,123,1794.1759359032128
2025-12-06 04:00:00,124,1835.5436762502545
2025-12-06 05:00:00,125,2175.519946884018
2025-12-06 06:00:00,126,2860.3914415115923
2025-12-06 07:00:00,127,3325.4376499820487
2025-12-06 08:00:00,128,3600.6046125323137
2025-12-06 09:00:00,129,3875.9897974217765
2025-12-06 10:00:00,130,4028.1000629148357
2025-12-06 11:00:00,131,3889.955130538532
2025-12-06 12:00:00,132,3763.5605083783385
2025-12-06 13:00:00,133,3324.874589260821
2025-12-06 14:00:00,134,3280.671104967144
2025-12-06 15:00:00,135,3247.448819909309
2025-12-06 16:00:00,136,3240.0456512985584
2025-12-06 17:00:00,137,3339.638046702053
2025-12-06 18:00:00,138,3390.4431887762976
2025-12-06 19:00:00,139,3333.9647064999226
2025-12-06 20:00:00,140,3137.4653666879613
2025-12-06 21:00:00,141,2897.401837186829
2025-12-06 22:00:00,142,2661.582909747628
2025-12-06 23:00:00,143,2438.317536912787
2025-12-07 00:00:00,144,1984.7605710593805
2025-12-07 01:00:00,145,1815.8858229940179
2025-12-07 02:00:00,146,1746.1900655173197
2025-12-07 03:00:00,147,1738.755511426964
2025-12-07 04:00:00,148,1754.430891381265
2025-12-07 05:00:00,149,2005.422142447269
2025-12-07 06:00:00,150,2559.5306304820306
2025-12-07 07:00:00,151,2968.4899606263666
2025-12-07 08:00:00,152,3341.024404863339
2025-12-07 09:00:00,153,3691.421074232509
2025-12-07 10:00:00,154,3904.8547873021976
2025-12-07 11:00:00,155,3774.5882376020813
2025-12-07 12:00:00,156,3653.578969877871
2025-12-07 13:00:00,157,3218.3367600788333
2025-12-07 14:00:00,158,3115.985952174865
2025-12-07 15:00:00,159,3070.2858337786615
2025-12-07 16:00:00,160,3067.923582797243
2025-12-07 17:00:00,161,3212.8007438544405
2025-12-07 18:00:00,162,3266.6567508140715
2025-12-07 19:00:00,163,3191.3644482431246
2025-12-07 20:00:00,164,3038.6206418080155
2025-12-07 21:00:00,165,2837.8548893172638
2025-12-07 22:00:00,166,2638.7745965167146
2025-12-07 23:00:00,167,2384.9177263665906
2025-12-08 00:00:00,168,2007.8229752535642
